Freq	Theta
15950	109.372
16000	109.452
16050	109.397
16100	109.419
16150	109.428
16200	109.434
16250	109.431
16300	109.45
16350	109.49
16400	109.476
16450	109.482
16500	109.518
16550	109.463
16600	109.532
16650	109.435
16700	109.482
16750	109.487
16800	109.432
16850	109.478
16900	109.441
16950	109.472
17000	109.526
17050	109.455
17100	109.441
17150	109.534
17200	109.542
17250	109.482
17300	109.526
17350	109.527
17400	109.544
17450	109.508
17500	109.468
17550	109.484
17600	109.529
17650	109.476
17700	109.5
17750	109.494
17800	109.497
17850	109.451
17900	109.49
17950	109.496
18000	109.497
18050	109.507
18100	109.499
18150	109.441
18200	109.523
18250	109.461
18300	109.539
18350	109.503
18400	109.441
18450	109.468
18500	109.481
18550	109.426
18600	109.488
18650	109.474
18700	109.463
18750	109.474
18800	109.514
18850	109.478
18900	109.514
18950	109.486
19000	109.484
19050	109.539
19100	109.582
19150	109.557
19200	109.459
19250	109.52
19300	109.463
19350	109.549
19400	109.499
19450	109.488
19500	109.745
19550	107.259
19600	109.422
19650	109.509
19700	109.574
19750	109.528
19800	109.441
19850	109.478
19900	109.432
19950	109.498
20000	109.507
20050	109.522
20100	109.515
20150	109.519
20200	109.546
20250	109.53
20300	109.524
20350	109.551
20400	109.497
20450	109.522
20500	109.486
20550	109.508
20600	109.488
20650	109.529
20700	109.481
20750	109.508
20800	109.473
20850	109.48
20900	109.51
20950	109.529
21000	109.462
21050	109.467
21100	109.515
21150	109.527
21200	109.518
21250	109.51
21300	109.509
21350	109.556
21400	109.487
21450	109.506
21500	109.509
21550	109.498
21600	109.494
21650	109.533
21700	109.492
21750	109.486
21800	109.481
21850	109.518
21900	109.499
21950	109.529
22000	109.528
22050	109.484
22100	109.54
22150	109.536
22200	109.485
22250	109.462
22300	109.529
22350	109.519
22400	109.498
22450	109.507
22500	109.489
22550	109.518
22600	109.501
22650	109.454
22700	109.512
22750	109.532
22800	109.507
22850	109.558
22900	109.47
22950	109.501
23000	109.5
23050	109.513
23100	109.474
23150	109.51
23200	109.465
23250	109.492
23300	109.455
23350	109.492
23400	109.547
23450	109.544
23500	109.494
23550	109.498
23600	109.499
23650	109.488
23700	109.535
23750	109.481
23800	109.475
23850	109.514
23900	109.483
23950	109.512
24000	109.503
24050	109.482
24100	109.502
24150	109.46
24200	109.484
24250	109.476
24300	109.485
24350	109.509
24400	109.492
24450	109.494
24500	109.483
24550	109.508
24600	109.563
24650	109.51
24700	109.507
24750	109.546
24800	109.491
24850	109.555
24900	109.467
24950	109.582
25000	109.435
25050	109.424
25100	109.526
25150	109.571
25200	109.466
25250	109.503
25300	109.499
25350	109.495
25400	109.5
25450	109.526
25500	109.523
25550	109.527
25600	109.436
25650	109.494
25700	109.513
25750	109.486
25800	109.536
25850	109.555
25900	109.501
25950	109.47
26000	109.502
26050	109.499
26100	109.516
26150	109.497
26200	109.487
26250	109.499
26300	109.519
26350	109.485
26400	109.51
26450	109.533
26500	109.516
26550	109.493
26600	109.495
26650	109.552
26700	109.513
26750	109.477
26800	109.528
26850	109.525
26900	109.496
26950	109.518
27000	109.518
27050	109.471
27100	109.52
27150	109.519
27200	109.499
27250	109.494
27300	109.489
27350	109.455
27400	109.489
27450	109.512
27500	109.556
27550	109.699
27600	109.505
27650	109.49
27700	109.509
27750	109.522
27800	109.506
27850	109.519
27900	109.508
27950	109.528
28000	109.523
28050	109.543
28100	109.488
28150	109.548
28200	109.503
28250	109.52
28300	109.506
28350	109.524
28400	109.531
28450	109.525
28500	109.516
28550	109.513
28600	109.475
28650	109.493
28700	109.505
28750	109.545
28800	109.531
28850	109.503
28900	109.509
28950	109.517
